periodos,capital_tradicional,deposito_exigibilidad_inmediata,depositos_plazo,deposito_publico_gral,deposito_mercado_dinero,titulo_credito_emitidos,cta_global_captacion_sinmov,prestamo_interbancario_organismos,prestamo_corto_plazo,prestamo_largo_plazo,reservas_tecnicas,acreedores_reporto,prestamos_valores,colaterales_vendido_garantia,colateral_reportos,colateral_prestamo_valores,derivados,derivados_fines_negociacion,derivados_fines_cobertura,ajustes_cobertura_pasivos_finan,ctas_pagar_reasegur_reafian,impuestos_utilidad_pagar,part_trabajadores_utilidades_x_pagar,acreedores_liquida_operaciones,acreedores_cuentas_margen,acreedores_diversos,credito_diferido_cobroanticipado,total_pasivo,capital_contibuido,capital_social,prima_venta_acciones,capital_ganado,reservas_capital,resul_ejercicio_anterior,resul_cobertura_flujo_efectivo,efecto_acumul_conversión,remediciones_beneficios_emple,resultado_neto,participacion_nocontroladora,total_capital_contable,total_pasivo_capital,Banc
2T20,1384394,1016021,273665,245544,28121,89927,4781,20358,9604,10754,226827,215118,2.0,55877,0,55877,302932,285789,17143,10770,164,0,20.0,77516,0,33104,7412,2460162,89132,9799,79333,159129,204.0,145650,389,440.0,7940,19809,39.0,248300,2708462,BBVA
3T20,1413428,1047248,272245,251619,20626,89006,4929,19374,7757,11617,234163,240870,1.0,49932,0,49932,244304,229061,15243,9659,161,0,22.0,78298,0,30573,7382,2446550,89132,9799,79333,173613,204.0,145650,283,440.0,7799,34061,40.0,262785,2709335,BBVA
4T20,1410989,1083733,238248,224386,13862,84052,4956,17860,6985,10875,238550,255331,5.0,63841,0,63841,223841,210971,12870,7915,934,0,285.0,55312,1179,44463,7540,2432988,89132,9799,79333,182393,204.0,145650,96,440.0,9544,42860,39.0,271564,2704552,BBVA
1T21,1444230,1115493,238406,232356,6050,85296,5035,30885,6070,24815,250399,247129,3.0,64426,19963,44463,162609,155273,7336,4796,1396,0,75.0,62518,348,42002,7604,2410733,89132,9799,79333,188490,204.0,188510,430,440.0,9199,11087,39.0,277661,2688394,BBVA
2T21,1447716,1131180,223515,217871,5644,87743,5278,30456,6171,24285,260167,300078,1.0,53068,12591,40477,152846,146775,6071,4742,1301,1448,195.0,68820,348,82534,7539,2497177,89132,9799,79333,193428,204.0,173865,562,0.0,2422,25895,44.0,282604,2779781,BBVA
1T20,1388640,1009526,272634,246531,26103,101903,4577,,6374,,224090,221279,1.0,55304,,55304,370224,353793,16431,10133,237,,22.0,81859,0,34184,7869,2555540,89132,9799,79333,144385,204.0,145650,292,440.0,7962,8620,38.0,233555,2789095,BBVA
2T21,840840,14187,,178069,38058,74177,1900,43321,14895,14239,,175437,,29755,526,29229,197271,187373,9898,1,,,211.0,81831,69.0,46893,794.0,1474443,35034,29799,5235,124907,26940,93089,292,9.0,1606,7992,50.0,159941,1634384,Santander
1T21,848345,10960,,183904,45094,80718,1838,42825,17793,14072,,295632,,20952,414,20538,223898,211768,12130,0,,,437.0,49320,180.0,50609,806.0,1588644,34976,29799,5177,124678,25446,96673,292,9.0,1488,3279,37.0,159654,1748298,Santander
4T21,845107,5425,,195736,51467,80663,1792,47876,18338,24113,,335429,,15610,347,15263,305465,286511,18954,0,,,359.0,39945,5.0,47819,492.0,1697342,34933,29799,5134,123938,25446,76672,292,9.0,1523,20154,39.0,158871,1856213,Santander
3T20,862618,2349,,199815,63483,89634,1737,45252,18904,23999,,282666,,14260,748,13512,332882,308571,24311,2,,,279.0,57490,27.0,46951,51.0,1707209,35030,29799,5231,116445,25446,76837,292,9.0,1009,14674,32.0,151475,1858684,Santander
2T20,880490,30459,,223703,58072,90750,1633,73378,18972,23947,,267962,,15411,999,14412,399025,371702,27323,4,,,226.0,38272,109.0,39403,106.0,1782814,34977,29799,5178,111559,25446,77013,292,9.0,1001,9644,36.0,146536,1929350,Santander
1T20,861518,275,,216206,63040,51178,1540,40595,16973,23347,,234582,,10209,2392,7817,361310,336580,24730,3,,,424.0,44548,627.0,41603,302.0,1661169,34917,29799,5118,106124,23845,78802,292,9.0,995,5414,43.0,141041,1802210,Santander
1T20,,433849,,274681,26894,35355,772993,37499,20824,11675,162887,354238,,16.0,16.0,,361310,50574,10487,,2311,3538,639.0,31188,,46614,382,1531790,34917,14944,48091,132179,5418,125934,3895,348.0,1894,9118,2277,197490,1729280,Banorte
2T20,,469861,,265100,28433,35386,801148,61817,47365,14452,179930,353211,,8.0,8.0,,361310,58754,7682,,3159,2718,280.0,4621,,44126,462,1575237,34917,14901,48316,142684,8746,120910,1398,326.0,1927,15636,2443,208344,1783581,Banorte
3T20,,496641,,251418,26741,35815,813104,35408,22185,13223,183866,352628,0,2.0,2.0,0,361310,50121,7189,,2918,3521,407.0,11182,,50021,430,1577935,34917,14901,48509,151242,8753,119734,1677,269.0,1960,24542,2719,217371,1795306,Banorte
4T20,,520283,,252271,14248,32325,821712,36021,22499,13522,187846,353094,0,21.0,13.0,8,361310,44097,4990,,2269,4365,538.0,4892,,42775,1411,1562801,34917,14919,48269,159053,9215,118773,887,134.0,2259,30508,2862,225103,1787904,Banorte
1T21,,541002,,246883,8069,31937,830531,34016,20054,13962,200479,371414,0,31.0,19.0,13,361310,24508,5566,,3145,1895,187.0,4020,,43030,1346,1580066,34917,14936,47863,164434,9719,148359,2214,166.0,2229,8544,2908,230142,1810207,Banorte
2T21,,529030,,243038,3364,31907,810082,33754,19531,14223,204291,382616,0,77.0,55.0,22,361310,20011,5623,,2790,1660,297.0,8282,,42812,1260,1573041,34917,14936,48283,163079,8415,139558,2451,132.0,2199,17112,3025,229322,1802363,Banorte
