Table
Institución ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 1T21 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Casa de Bolsa Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,584.1 ,331.8 ,4.0 
,,,Total ,584.1 ,331.8 ,4.0 


