Table
Créditos de consumo ,"108,292 ","106,493 "
Créditos a la vivienda ,,
Media y residencial ,"138,919 ","134,744 "
De interés social ,24 ,24 
Créditos adquiridos al INFONAVIT o el FOVISSSTE ,"12,392 ","12,392 "
,"151,335 ","147,160 "
Total cartera de crédito vigente ,"732,375 ","706,885 "
Cartera de crédito vencida: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"6,700 ","26,030 "
Créditos de consumo ,"4,700 ","6,409 "
Créditos a la vivienda ,,
Media y residencial ,"5,864 ","9,960 "
De interés social ,5 ,5 
Créditos adquiridos al INFONAVIT el FOVISSSTE ,"1,575 ","1,575 "
,"7,444 ","11,540 "
,,
Total cartera de crédito vencida ,"18,844 ","43,979 "
,,
Cartera de crédito ,"751,219 ","750,864 "
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,"(26,157) ","(26,925) "
Total de cartera de crédito (Neto) ,"725,062 ","723,939 "


Table
Millones de pesos ,Criterios Contables ,Criterio Contable 
,Especiales ,B-6 
Ingresos por intereses ,"60,230 ","59,875 "
Estimación preventiva para riesgos crediticios ,"(13,515) ","(14,283) "


Table
Criterios Contables Especiales ,16.69% 
Criterio Contable B-6 ,16.49% 
,
,(20) pb 


